Date, Open, High, Low, Close
6/15/2004,4696.51,4814.85,4814.85,4814.85
6/14/2004,4810.42,4746.01,4746.01,4746.01
6/11/2004,4931.49,4832.71,4832.71,4832.71
6/10/2004,4954.06,4944.64,4944.64,4944.64
6/9/2004,4972.34,4963.75,4963.75,4963.75
6/8/2004,4960.87,4962.63,4962.63,4962.63
6/7/2004,4927.5,4938.15,4938.15,4938.15
6/4/2004,4803.31,4889,4889,4889
6/3/2004,4972.27,4817.99,4817.99,4817.99
6/2/2004,4846.09,4923.69,4923.69,4923.69
6/1/2004,4792.01,4835.12,4835.12,4835.12
5/31/2004,4760.28,4759.62,4759.62,4759.62
5/28/2004,5026.92,4835.39,4835.39,4835.39
5/27/2004,5054.45,5058.55,5058.55,5058.55
5/26/2004,5116.58,5081.95,5081.95,5081.95
5/25/2004,5117.52,5102.22,5102.22,5102.22
5/24/2004,4993.45,5123.23,5123.23,5123.23
5/21/2004,4922.48,4961.57,4961.57,4961.57
5/20/2004,5048.17,4932.11,4932.11,4932.11
5/19/2004,4941.72,5006.1,5006.1,5006.1
5/18/2004,4547.7,4877.02,4877.02,4877.02
5/17/2004,5020.89,4505.16,4505.16,4505.16
5/14/2004,5409.34,5069.87,5069.87,5069.87
5/13/2004,5234.51,5399.47,5399.47,5399.47
5/12/2004,5296.25,5358.35,5358.35,5358.35
5/11/2004,5472.03,5325.9,5325.9,5325.9
5/10/2004,5628.61,5555.84,5555.84,5555.84
5/7/2004,5748.34,5669.58,5669.58,5669.58
5/6/2004,5749.98,5757.3,5757.3,5757.3
5/5/2004,5665.67,5686.19,5686.19,5686.19
5/4/2004,5616.41,5647.15,5647.15,5647.15
5/3/2004,5645.86,5584.99,5584.99,5584.99
4/30/2004,5674.76,5655.09,5655.09,5655.09
4/29/2004,5710.56,5668.43,5668.43,5668.43
4/28/2004,5709.43,5713.09,5713.09,5713.09
4/27/2004,5868.33,5712.28,5712.28,5712.28
4/23/2004,5941.1,5979.25,5905.58,5925.58
4/22/2004,5888.17,5924.18,5924.18,5924.18
4/21/2004,5803.7,5876.42,5876.42,5876.42
4/20/2004,5814.88,5804.81,5804.81,5804.81
4/19/2004,5875.53,5800.54,5800.54,5800.54
4/16/2004,5868.39,5862.82,5862.82,5862.82
4/15/2004,5923.84,5843.97,5843.97,5843.97
4/13/2004,5823.53,5920.18,5743.58,5904.52
4/12/2004,5856.44,5783.79,5783.79,5783.79
4/8/2004,5824.37,5864.55,5783.74,5838.45
4/7/2004,5827.07,5815.13,5815.13,5815.13
4/6/2004,5886.02,5822.42,5822.42,5822.42
4/5/2004,5809.74,5838.02,5838.02,5838.02
4/2/2004,5788.08,5788.08,5788.08,5788.08
4/1/2004,5599.12,5750.29,5599.12,5740.85
3/31/2004,5518.43,5599.6,5493.12,5590.6
3/30/2004,5595.93,5608.31,5509.58,5520.44
3/29/2004,5538.52,5578.74,5495.31,5571.37
3/26/2004,5448.29,5552.34,5448.29,5528.94
3/25/2004,5403.38,5438.86,5368.88,5414.44
3/24/2004,5412.13,5435.4,5345.15,5395.28
3/23/2004,5356.97,5450.38,5324.78,5400.99
3/22/2004,5446.88,5446.88,5347.05,5365.4
3/19/2004,5410.48,5496.68,5386.62,5443.44
3/18/2004,5539.72,5540.68,5399.05,5414.94
3/17/2004,5545.83,5560.15,5482.63,5535.69
3/16/2004,5471.17,5551.92,5434.97,5525.09
3/15/2004,5745.06,5764.2,5505.98,5520.66
3/12/2004,5632.13,5735.94,5570.81,5700.4
3/11/2004,5737.69,5763.71,5634.4,5649.86
3/10/2004,5833.19,5833.19,5745.56,5759.29
3/9/2004,5923.35,5923.35,5794.82,5850.61
3/8/2004,5899.26,5951.03,5898.57,5935.19
3/5/2004,5834.37,5892.78,5818.77,5880.35
3/4/2004,5842.41,5872.75,5769.34,5815.87
3/3/2004,5830.77,5870.63,5792.97,5842.2
3/1/2004,5649.3,5831.55,5649.3,5823.17
2/27/2004,5595.83,5683.29,5551.64,5667.51
2/26/2004,5639.83,5723.31,5556.31,5567.12
2/25/2004,5746.79,5746.79,5606.86,5618.15
2/24/2004,5686.81,5748.15,5606.84,5734.44
2/23/2004,5869.61,5875.23,5680.36,5698.04
2/20/2004,5847.97,5893.62,5770.87,5850.72
2/19/2004,6041.36,6041.36,5845.07,5855.1
2/18/2004,6060.14,6082.8,6018.81,6027.02
2/17/2004,6018.95,6058.99,5999.13,6035.8
2/16/2004,6025.85,6063.91,6001.57,6012.35
2/13/2004,5936.65,6017.01,5922.38,6011.66
2/12/2004,5973.71,5986.41,5886.98,5936.96
2/11/2004,5936.41,5958.91,5905.23,5949.78
2/10/2004,5937.46,5972.94,5866.62,5932.52
2/9/2004,5810.21,5935.68,5807.73,5926.22
2/6/2004,5710.13,5800.94,5683.61,5786.35
2/5/2004,5756.3,5820.45,5648.14,5720.63
2/4/2004,5633.15,5769.79,5574.68,5756.76
2/3/2004,5715.46,5715.46,5550.17,5620.98
1/30/2004,5841.21,5854.29,5685.64,5695.67
1/29/2004,5865.21,5921.72,5774.31,5802.75
1/28/2004,5980.88,6030.55,5815.2,5876.05
1/27/2004,5854.35,6005.54,5791.74,5993.06
1/23/2004,5646.33,5832.74,5596.57,5816.64
1/22/2004,5793.83,5852.96,5567.68,5593.74
1/21/2004,5927.42,5962.36,5728.32,5758.19
1/20/2004,6099.94,6130.09,5899.71,5922.11
1/19/2004,5967.39,6076.97,5870.99,6064.1
