Date, Open, High, Low, Close
12/20/90, 1276.6, 1276.6, 1276.6, 1276.6
12/19/90, 1284.0, 1284.0, 1284.0, 1284.0
12/18/90, 1283.6, 1283.6, 1283.6, 1283.6
12/17/90, 1295.7, 1295.7, 1295.7, 1295.7
12/14/90, 1310.0, 1310.0, 1310.0, 1310.0
12/13/90, 1319.7, 1320.0, 1320.0, 1319.7
12/12/90, 1323.6, 1323.6, 1323.6, 1323.6
12/11/90, 1321.6, 1321.0, 1321.0, 1321.6
12/10/90, 1329.6, 1329.6, 1329.6, 1329.6
12/07/90, 1335.6, 1335.6, 1335.6, 1335.6
12/06/90, 1323.3, 1323.3, 1323.3, 1323.3
12/05/90, 1322.0, 1322.0, 1322.0, 1322.0
12/04/90, 1317.0, 1317.0, 1317.0, 1317.0
12/03/90, 1324.0, 1324.0, 1324.0, 1324.0
11/30/90, 1319.7, 1319.7, 1319.7, 1319.7
11/29/90, 1342.3, 1338.5, 1338.5, 1342.3
11/28/90, 1351.1, 1351.1, 1351.1, 1351.1
11/27/90, 1350.3, 1350.3, 1350.3, 1350.3
11/26/90, 1355.3, 1355.3, 1355.3, 1355.3
11/23/90, 1366.6, 1366.6, 1366.6, 1366.6
11/22/90, 1368.6, 1368.6, 1368.6, 1368.6
11/21/90, 1374.1, 1374.1, 1374.1, 1374.1
11/20/90, 1365.5, 1365.5, 1365.5, 1365.5
11/19/90, 1348.0, 1348.0, 1348.0, 1348.0
11/16/90, 1339.9, 1345.3, 1345.3, 1339.9
11/15/90, 1345.3, 1345.3, 1345.3, 1345.3
11/14/90, 1345.2, 1345.2, 1345.2, 1345.2
11/13/90, 1348.8, 1348.8, 1348.8, 1348.8
11/12/90, 1335.6, 1335.6, 1335.6, 1335.6
11/09/90, 1328.8, 1328.8, 1328.8, 1328.8
11/08/90, 1342.3, 1342.3, 1342.3, 1342.3
11/07/90, 1335.0, 1335.0, 1335.0, 1335.0
11/06/90, 1317.8, 1317.8, 1317.8, 1317.8
11/05/90, 1313.3, 1313.3, 1313.3, 1313.3
11/02/90, 1291.2, 1291.2, 1291.2, 1291.2
11/01/90, 1303.0, 1303.0, 1303.0, 1303.0
10/31/90, 1327.2, 1327.2, 1327.2, 1327.2
10/30/90, 1329.1, 1329.1, 1329.1, 1329.1
10/29/90, 1344.8, 1344.8, 1344.8, 1344.8
10/26/90, 1354.7, 1354.5, 1354.5, 1354.7
10/25/90, 1375.3, 1375.3, 1375.3, 1375.3
10/24/90, 1376.7, 1376.7, 1376.7, 1376.7
10/23/90, 1383.1, 1383.1, 1383.1, 1383.1
10/22/90, 1364.6, 1364.6, 1364.6, 1364.6
10/19/90, 1368.7, 1365.6, 1365.6, 1368.7
10/18/90, 1355.2, 1355.2, 1355.2, 1355.2
10/17/90, 1341.8, 1341.7, 1341.7, 1341.8
10/16/90, 1336.9, 1336.7, 1336.7, 1336.9
10/15/90, 1321.4, 1321.2, 1321.2, 1321.4
10/12/90, 1326.1, 1326.1, 1326.1, 1326.1
10/11/90, 1341.1, 1342.2, 1342.2, 1341.1
10/10/90, 1360.2, 1360.2, 1360.2, 1360.2
10/09/90, 1375.4, 1375.4, 1375.4, 1375.4
10/08/90, 1369.4, 1369.5, 1369.5, 1369.4
10/05/90, 1356.8, 1356.8, 1356.8, 1356.8
10/04/90, 1368.5, 1368.5, 1368.5, 1368.5
10/03/90, 1385.4, 1385.4, 1385.4, 1385.4
10/02/90, 1406.0, 1406.1, 1406.1, 1406.0
10/01/90, 1385.7, 1385.7, 1385.7, 1385.7
09/28/90, 1396.8, 1396.1, 1396.1, 1396.8
09/27/90, 1393.6, 1394.2, 1394.2, 1393.6
09/26/90, 1385.8, 1386.0, 1386.0, 1385.8
09/25/90, 1393.8, 1393.6, 1393.6, 1393.8
09/24/90, 1412.5, 1413.9, 1413.9, 1412.5
09/21/90, 1428.0, 1428.0, 1428.0, 1428.0
09/20/90, 1446.6, 1447.5, 1447.5, 1446.6
09/19/90, 1451.7, 1449.9, 1449.9, 1451.7
09/18/90, 1472.4, 1473.2, 1473.2, 1472.4
09/17/90, 1477.2, 1476.8, 1476.8, 1477.2
09/14/90, 1480.1, 1480.0, 1480.0, 1480.1
09/13/90, 1494.9, 1495.7, 1495.7, 1494.9
09/12/90, 1512.5, 1512.6, 1512.6, 1512.5
09/11/90, 1499.4, 1499.2, 1499.2, 1499.4
09/10/90, 1499.8, 1500.9, 1500.9, 1499.8
09/07/90, 1478.8, 1479.0, 1479.0, 1478.8
09/06/90, 1480.5, 1482.1, 1482.1, 1480.5
09/05/90, 1479.8, 1478.4, 1478.4, 1479.8
09/04/90, 1494.5, 1493.5, 1493.5, 1494.5
09/03/90, 1504.3, 1503.3, 1503.3, 1504.3
08/31/90, 1507.6, 1505.7, 1505.7, 1507.6
08/30/90, 1503.9, 1503.3, 1503.3, 1503.9
08/29/90, 1486.8, 1487.2, 1487.2, 1486.8
08/27/90, 1477.0, 1477.3, 1477.3, 1477.0
08/24/90, 1469.6, 1466.9, 1466.9, 1469.6
08/23/90, 1493.7, 1493.4, 1493.4, 1493.7
08/22/90, 1530.5, 1529.2, 1529.2, 1530.5
08/21/90, 1553.0, 1551.7, 1551.7, 1553.0
08/20/90, 1538.2, 1538.2, 1538.2, 1538.2
08/17/90, 1543.1, 1542.7, 1542.7, 1543.1
08/16/90, 1558.5, 1557.0, 1557.0, 1558.5
08/15/90, 1563.0, 1552.3, 1552.3, 1563.0
08/14/90, 1564.0, 1565.0, 1565.0, 1564.0
08/13/90, 1555.2, 1554.0, 1554.0, 1555.2
08/10/90, 1569.2, 1568.8, 1568.8, 1569.2
08/09/90, 1562.8, 1562.8, 1562.8, 1562.8
08/08/90, 1568.3, 1566.0, 1566.0, 1568.3
08/07/90, 1547.5, 1540.8, 1540.8, 1547.5
08/06/90, 1548.3, 1551.1, 1551.1, 1548.3
08/03/90, 1589.7, 1588.0, 1588.0, 1589.7
08/02/90, 1616.8, 1616.6, 1616.6, 1616.8
